Episode,TotalReward,TotalPower,TotalDelay
1,-571.3315885743136,80.0,17.83697181844412
2,-594.03033761466,60.0,21.456806089753947
3,-580.9375516499136,60.0,33.24011971756
4,-588.1429085870222,60.0,31.818439408175703
5,-587.9109037416487,60.0,28.517794479550833
6,-587.4558559742895,90.0,29.528590793665284
7,-587.165904244445,70.0,26.20485952084038
8,-568.0712596432645,70.0,29.115324242419245
9,-633.9201926793023,80.0,22.289574839240558
10,-578.1339319335725,70.0,30.64441406137608
11,-592.441344921548,70.0,23.049154562196435
12,-570.6567320708297,60.0,29.620955057039385
13,-596.4375491799251,90.0,40.13821452136848
14,-596.7852906453708,80.0,16.60270541603478
15,-564.4915286051519,60.0,18.794757250169383
16,-609.0473200884481,70.0,19.790508428190726
17,-584.9838001636849,90.0,27.274727444740062
18,-627.61902907787,80.0,25.770276639211595
19,-566.7816200905253,80.0,12.74089228017473
20,-566.3841057775784,70.0,22.711392468386673
